,Review_title,Review_body,Review_rating,Review_date
55,Please don’t buy this product,"  This product work for only 1month and it gets repaired, we don’t have proper service center for servicing the product, My advice is to not to purchase this product according to my personal usages",1.0,2020-09-15
56,Not good,  Not good,1.0,2020-09-13
57,Amazing,"  It's amazing ,easy to use and good for traveling purpose.",4.0,2020-09-08
58,It's not working,  Its not working properly can u take return this product please let me know,2.0,2020-09-07
59,Best budget price products,  Wow products cool🥰🥰🥰🥳🥳🥳,0.0,2020-09-05
60,To good,  It good 😀,0.0,2020-09-04
61,Bas dikh ne mai hi ach6a hai..paise waist geye mere,  1 minit v nhi chala. Bar bar on kar na parta hai 😡😡,2.0,2020-09-03
62,Only good for small amount,  Not much powerfull. Only use less then half amount of glass. Greater than that will make moter stops in 3 sec,4.0,2020-08-29
63,stopped working on day 4,"  useless,unreliable product.stopped working on day 4.power on/off switch fails to respond several times.waste of money n time.",1.0,2020-08-27
64,Don't buy this product,  Don't buy,1.0,2020-08-25
65,Good for small smoothies,  Feels underpowered if the smoothie is too thick. One needs to carefully clean it to prevent water getting into the motor.,4.0,2020-08-23
66,Excellent and beautiful 😍,  I loved it and feel to rate 5 🌟,0.0,2020-08-23
67,Wasted of money 😡😡😡,  Waste of money 😡😡😡😡😡😡,1.0,2020-08-21
68,Stop working after 2 weeks seller not reply and claim the warranty,"  Stop working after 2 weeks ,. It has 1 year Warranty , when we try to claim the warranty seller didn't and reply against warranty we have already reached him many times , please don't buy this product",1.0,2020-08-21
69,Good,  Good,0.0,2020-08-19
70,Poor,  Not star for your machine,1.0,2020-08-19
71,😠😠😠👎,"  Its broken on the way of my travel, in 3rd day ...I put in my bag , when open it I saw its broken 😠",2.0,2020-08-19
72,The Product is not worth.,"  I have purchased this product in early June and used the product occasionally  (not more than 10 -15 times). The product has been defective since the end of July.Moreover, as it was assured that this product comes with a warranty of 1 year, however, there is no support for the product. There is a WhatsApp number, they will reply after ages when you post your concern. Its a wastage of time while raising and resolving the concerns. I am not happy with the product support at all, I wish I had purchased a better product.The product replacement is not the issue, it the time I am consuming for getting it replaced/ repaired. It's not worth it.Take genuine brands product only. Don't go for a cheap priced product.",1.0,2020-08-18
73,Disappointed,  Worst don't buy,1.0,2020-08-17
74,Totally waste of money,  It's not working after 1 monthPlease buy this things locallyIn 1200-1300 u will get a good product offline,1.0,2020-08-16
75,Ok ok,  Not easy to handle but powerful motor there should more attachment to support the glass jar color is pretty,3.0,2020-08-14
76,Portable mixer,"  Good ,but the glass is too lite ...okayNice product",4.0,2020-08-13
77,Nic3,  Perfect,0.0,2020-08-11
78,Jar was leaking and could not grind well.,"  For this product, it was wastage of money. Unfortunately there was no option for refund on return. I had to keep this item though I did not liked it because it was looking bigger but was small in size, leaking liquid when grinding and battery back up was not so good, have to charge again and again. I wanted a refund but replacement is the only available option.",1.0,2020-08-10
79,Useful but lots to take care in design.,"  I bought this blender for making smoothies and for making fruit juice.It works pretty well as a blender for bruits, but not so good with nuts and dry fruits. It couldn't even cut through the dry fruits we find in oats. blends mangoes, avocados, pineapple, pomegranate ,etc really well.The next issue I found was that the amount you can actually blend in this is really low. The mark on the glass is almost half of the bottle.After almost a month I noticed that the blender stops blending after 1 full round of blend.(around 10 sec). Then when you try switching on, it stops after 1 sec which is really weird.The area where the bottle joins the blender is not designed properly. there is sufficient gap for the blended material to drip down once we open. the gap is too small for wiping and I had to use ear buds to clean it off.So overall its mixed emotions. It works as a blender, but has lot of design issues to resolve.",2.0,2020-08-10
80,Good quality,  Its really nice product,0.0,2020-08-10
81,Go for it,  Nice product for making mango and banana shake etc. But don't use it as a grinder for any of your dry fruits.,0.0,2020-08-09
82,Worthless Product,  The product is worthless . Please don’t buy it . Worst experience,1.0,2020-08-09
83,Too bad,"  The glass container on the top was totally broken,when we received the product.",1.0,2020-08-09
84,Unreliable item,  The battery backup is very bad. The device stopped working after 4-5 times. This was a bad investment,2.0,2020-08-09
85,Great product!,"  It’s nice product for the amount you pay, super handy and easy to use.",0.0,2020-08-08
86,must buy,  everything awesome. Few flaws I faced that I can't clean the inner side of blade area. Important thing is the seller doesn't give any option for buy a spare glass bottle. Otherwise awesome item.,4.0,2020-08-06
87,Don't buy it,"  Don't buy it , I m out of town for 2 months so I can't use it ,and after I came ,and try to make something with ,and it not working at all.",1.0,2020-08-06
88,Best Product in this range,  Easy to carry and use,0.0,2020-08-04
89,Not worth,"  Expectations not meet, juice are not good",3.0,2020-08-04
90,Product worth the money,  Great product..very convenient and easy to use,0.0,2020-08-02
91,Great Product must buy.,  Reviewing after a 2 month of use and i can say that its a product worth buy. Easy to use. Powerful for fruits and vegetable juices. Single charge can run more than a week. Great loved it.Cons: The container is glass. Need to be extra careful while washing and handling.,4.0,2020-07-29
92,Bang for bucks,"  I use it for rock climbing trips. It's nice.bnot very strong blender but good enough to grind my coffee beans,blend my bulletproof coffee and make a nice protein shake.",4.0,2020-07-23
93,Awesome,  Awesome,0.0,2020-07-22
94,Product not in working condition,  It is not working what can I do now,1.0,2020-07-22
95,Really good,"  I have been travelling with my juicer since 2 months..Its my everyday part of life now..easy to handle, clean..Thank you..",0.0,2020-07-19
96,Wastage,  Hardly used 4 times and it stopped workingWastage of money,1.0,2020-07-19
97,👌,  👌,0.0,2020-07-18
98,"Worst product, NEVEREVER PURCHASE it","  Charging capacity is not well enough to carry in a trip. You need always power bank as a back up. I won’t recommend to buy or use anyone this product. No option to give -ve feedback, else i would have given -5 rating for this one. How did Amazon assure this? Do they really test or approve it after getting a huge amount from this CHINESE product/Company??? If Amazon take any customer’s feedback positively, remove this CHINESE item and other product from this company ASAP.",1.0,2020-07-18
99,Stopped working,"  Finding problem with charging ,was only able to use it for a week and post that it never charged for some reason",1.0,2020-07-17
100,Worst,  Worst den ever,1.0,2020-07-17
101,Good,"  Good, but only work for 25 second once..... after that one need to charge it again...",4.0,2020-07-15
102,Very nice product,  Nice product,4.0,2020-07-15
103,Great,  Great product..  I am satisfied,0.0,2020-07-10
104,Glass break,  Glass has been break...what can i do?,4.0,2020-07-09
105,Wonderful product,  I give it to five star...becuase it is a wonderful product,0.0,2020-07-09
106,Isn't worth it.,"  This blender worked out fine for the first one or two months and then it stopped working. For no apparent reason, it just stopped working.",1.0,2020-07-09
107,Very gud,  Thanks Amazon and Esplorer Team to replace my machine.  I am so happy.,4.0,2020-07-08
108,Not for use office and travel,  Thes grander better than stret grander,1.0,2020-07-08
109,Gatiya Product,  Such a ghatiya product I ever bought from Amazon please don't buy this product it's not Working even after charge battery...stope working after 14days,1.0,2020-07-06
110,Product quality mark is 0. 0 star,"  Technology and thinking is good but the product doesn’t,t gave the output. One time usage and then trash it. It will not function in DC orAC. Batter drains 2nd time of usage. Overall 120 minutes. Now it is not working. Due to corona I was not able to use it as soon as I bought by that time window period is over so not sure how would have been their service.Product quality mark is 0. 0 star",1.0,2020-07-05
111,Not as expected,  Not as expected,1.0,2020-07-04
112,Plz pick up my brayden friutto portable juicer and its not safe for childeen,  Nit safe for children,1.0,2020-07-04
113,Please provide the glass jar....,  The glass jar is broken.....I’d would like to perches the glass jar please provide a buying guide link.....,4.0,2020-07-02
114,Blade not that sharp,  Hard veggies difficult to grind,3.0,2020-06-29
115,Supab,  Great product ❤️👌🤟,0.0,2020-06-28
116,MUST BUY,"  Guys I have used it to an extend where now without this my routine is just incomplete... The product is amazing, value for money n must invest n have such great product for such price. Just ensure to make limited use n not force the machine to run long, keep charging, puttin in huge chunks of fruits.... If you take care then its gonna go for a long run. MUST BUY, MUST INVEST",0.0,2020-06-28
117,Very bad product,  Product is very bad.... Bad charge service and,1.0,2020-06-27
118,Satisfied,  Satisfied,0.0,2020-06-27
119,.,  Easy to use,0.0,2020-06-27
120,hasn't started for the first time even charing for so many hours just lights blink red and blue,  it is not starting even after charging for many hours and it hasn't been used for single time it just hasn't not started after just it has delivered,1.0,2020-06-26
121,Please do the replacement...,  It's a worst product I have got...just worked three days and now it's not working..even shown to electronic shop ..they couldn't fix it...Dont buy..,1.0,2020-06-25
122,value for money,  worth buying,4.0,2020-06-25
123,Best product ever,  Amazing product I loved it all features are too good and easy to carry everywhere .,0.0,2020-06-21
124,Worthless,  Very bad experience,1.0,2020-06-19
125,A great portable and rechargeable blender..,"  A very good product at this price. Very easy to use, easy to clean and since it's portable it can be carried while traveling also without any problem. Battery lasts for 8/10 use. Only thing to care is the container is of glass.",0.0,2020-06-17
126,A story triggered by an unstable power supply,"  I don’t know how to evaluate this product. When you turn on the power with a fortune-telling mood, you don’t know whether it can be turned on, because the power is cloudy (bad contact). In short, this product adds uncertainty to my unknown life.",1.0,2020-06-15
127,Very good,  Yes it is very good product i want only the glass jar seperately where it is avilable,4.0,2020-06-13
128,Awesomeness 😍,  Its really great n easy to use and all things done very perfectly.. M glad to buy this,0.0,2020-06-11
129,Not powerful enough for a smoothie,  The motor is not powerful enough to make a smoothie.,2.0,2020-06-08
130,Brilliant product,  A brilliant product.  Only concern is to handlw with care due to glass.  It should be avaible in spare.,0.0,2020-06-08
131,Worst,  This is the worst item that I ever bought. It stop working within few days. You have to recharge for 2 to 3 hours before use this blender. It doesn't work during charging. If anyone still want to buy than go to better option.Finally this is no use...,1.0,2020-06-08
132,Satisfaction,  I got what I expected,0.0,2020-06-03
133,Good/Quick juicer for an individual.,"  Your browser does not support HTML5 video.


   Just receivex the product. Packaging is remarkable. The machine is more sleek in real. Good quality and easy to use + clean. I hope it last me a year or so.",0.0,2020-06-03
134,My Require,  It's really good to see this kind of products available in amazon app which makes your life so easy. It is a worth,0.0,2020-05-31
135,Not a good product,  It's not working...I hav used nly 3 4 times.,1.0,2020-05-31
136,Glad!,  I bought it for travelling and its perfect.Makes three to four shakes on one charge. For one person and not tried more than that may go more.  I found it as expected.,4.0,2020-05-30
137,"First Hand Review, Loose Rubber Lining but I Love it...",  Well this is just a first hand review and I was too excited to get my hands on it. The product looks very good and easy to handle not many functions just simple double click mechanism.It comes with a glass jar I like the choice of a glass jar it feels good in hand I know it might break but that's upto how you handle it..First thing I saw when I got the package was the safety rubber lining under the rotary blades on the sides came out. But It got fixed in just a minute. And now it's running fine. Then I used it to make some cold coffee and yes the coffee does go under that lining.. and there is no other way to clean it then just stirring some water in the jar... And it's okie coz my main concern was portability and since I am only going to use it for liquids so cleaning with water is not going to be a major issue (I can always use some warm water or some vinegar or lemon to clean those really hard stains). Unless I someday decide to blend some heavy smoothies with some nuts or anything like that and let it dry in the jar for days (which is specifically not recommended for this product).I guess it is a pretty decent product until I face any battery issues in the near future as is pointed out by many in their reviews.,0.0,2020-05-23
138,Just go for it,"  I was using this item for grinding baby food since October 2019 to May 2020, more than 4 times a day. It is very convenient for travel as the size is very compact. I took It with me In air travel(in cabin luggage) also.  Once you charge it, easily it will work upto 4 days. Grinding quality is superb. Only issue is in cleaning, the blades are attached with the machine, and so while washing water may go inside through the charging slot.I could say, every penny i spent on this product got worthy.My machine stopped working in May 2020, and I am ordering it again.",0.0,2020-05-22
139,Stopped working,  Product stopped working after one month of purchase.,1.0,2020-05-18
140,Nice one,  Useful....,4.0,2020-05-18
141,Nice and handy.,  Everything is great as expected.,0.0,2020-05-06
142,Don't buy,  Not working,1.0,2020-05-05
143,Product got stopped working  in 8 months,"  This product got stopped working in 8 months, it seems its pressing switch is not working, pls let me know any options to repair it from repairing centres",4.0,2020-04-22
144,Good travel product,  great product with good quality material. best for travelling with baby and need to make smoothy grade food for feeding. one charge can be used for quiet sometime. only problem is where to keep it for flight journey as its a battery bank but cant be kept in cabin baggage becz it can be used as a wepon. then clarified with airport staff and kept in check in baggage for international flights.,0.0,2020-04-17
145,nic,  very good product thnx nic battry back up,0.0,2020-03-25
146,Yakkk..,  I don't like this product ....,1.0,2020-03-18
147,paisa bsool,  amazing product i love ittquality was excelent,0.0,2020-03-10
148,Good,  I love this product and the result of this blender is too much good for me.,0.0,2020-03-09
149,Nice product 👍,  Working is really good 👍 nice & powerful moter everything is fine accept jar . There  should be 2 jars is to be given in this range glass + hard plastic  . Though it will be more satisfactory. Allover its nice product i used it to make in many more food activities .,4.0,2020-03-09
150,Nice,  Value of amount,0.0,2020-03-08
151,Super,"  Super product ,but handle with Care because it is glass",0.0,2020-03-08
152,Wow,  Very nice easy to use,3.0,2020-03-08
153,Good product but the jar should have been made out of some other material.,"  The product is good... But the jar is made out of glass , so you have to be handling it very cautiously and safely.",3.0,2020-03-07
154,Nice quality,  Fully satisfied with the product. No issues at all. Easy to use and carry.,0.0,2020-03-06
155,Value for Money Product.  Go For It WIthout Any Second Thought,"  Value for Money ProductTime of Usage :Purchased this product exactly 2 months back. I have been using it on daily basis.Size  :This blender is perfect and very compact in size, will fit into your backbag comfortably, It’s not too heavy too and very useful during travelling.Built Quality :Built quality is too good and it has a glass container, which is really good when compared to plastic.Simple Tips :Do not fill the fruits till the bottle neck give some space as the blade needs space to revolve.Do not charge it with high voltage mobile charging adapter.Whom It can be Gifted:Ideal for all age group of you family, especially for Gym goers and young mothers.",0.0,2020-03-05
156,Good product,  Good product,0.0,2020-03-05
157,Super,  Super,0.0,2020-03-05
158,Awesome,  It's a good product,4.0,2020-03-05
159,Best product,  Best product,4.0,2020-03-05
160,Lovin it!!! But pls provide extra jar,  Very nice product.. quality is good and am loving it..within a seconds my juice is preparedJust one drawback the jar is of glass and if broken there is no way to purchase single jarSeller should provide one extra jar as its price is also not cheap,0.0,2020-03-04
161,Useful,  Useful product for bachelor,4.0,2020-03-03
162,Good,  Good,0.0,2020-03-02
163,Wrong item's,  Item's wrong item's,1.0,2020-03-02
164,Best product,  Best product,0.0,2020-03-02
165,Good,  Super quality,0.0,2020-03-01
166,Good One,  Nice Product,0.0,2020-03-01
167,Superb..,"  Awesome juicer...easy to carry.. battery backup is super..nice build quality, powerful motor",0.0,2020-02-28
168,Worst,  The worst product j have ever bought on Amazon. It's stopped working and no complaint centre alsoo. Waste of 1400 bucks 😏,1.0,2020-02-24
169,Worst product I ever bought from amazon,  Very bad product .after a week of use it burned itself,1.0,2020-02-23
170,👍good,  Good,3.0,2020-02-22
171,Good product,  while cleaning water may contact with USB.Charging is with USB. it is better if it have other than USB charging.Overall it is good.,4.0,2020-02-22
172,East to use in starting but after one month it's not working,"  It's easy to use, I buy it in 1st week Jan 2020 but now after one month it's not working properly. Does not charging.",2.0,2020-02-22
173,Super,"  Handy ,portable ,good backup for travelling nothing is better than this",0.0,2020-02-20
174,"Spare jar available,",  Jar available.?,4.0,2020-02-16
175,not working,  it was okay for first 3 months but after that it doesn't worked at all. i suggest not to buy at all,1.0,2020-02-15
176,Nice Product.,  Nice Product.,0.0,2020-02-12
177,Thanks,  Thanks,0.0,2020-02-11
178,Best,  Go,0.0,2020-02-10
179,Horrible product,  This is a very bad product . Barely worked for one month . The lid is also very bad plastic . It literally melted when hot water was used to wash it . Don’t buy at all,1.0,2020-02-09
180,Not good,"  I use this to puree all sort of baby foods and it works well. The jar is glass so safe for baby food too. Cleaning the main body is tricky since you cannot wash it under running water. Mine stopped working once, maybe water leaked inside but I dried it in the sun and is working fine again. Overall very satisfied.... edit: A few days back the main body of the blender blasted while on charging! I am never buying these kinds of stuff again! Scary",2.0,2020-02-07
181,Yes,  Bad,1.0,2020-02-05
182,Luv it,  Gud stuff,4.0,2020-02-03
183,best one,  As per my expectations..very easy to use..best for travelling..Thank u Amazon 😊,0.0,2020-02-03
184,Best buy,  Very useful...easy to handle...,0.0,2020-02-03
185,Great product at a great price.,"  Been looking for a blender compact enough to use it for morning shakes & after workout drinks.Bought this after a lot of deliberation, and this has not failed me in anyway.The built in battery is awesome as I don’t have to wait to come home to have my shakes / drinks. I can make my drink from my office, gym or even when driving back home.Great product at a great price. Can’t thank the seller enough for the product.Not complaining though, but a little larger container would have been even better.",0.0,2020-02-02
186,Awesome,"  Your browser does not support HTML5 video.


   It is just awesome 👍",4.0,2020-01-23
187,Awesome,  Happy with it,0.0,2020-01-23
188,Broken glass,  Broken glass how can i get new glass,0.0,2020-01-20
189,Juicer not Working,"  I purchased it in August 2019, and it's not working now. I am not able to claim warranty for this product.It worked fr only 2-3 months, and now it's of no use.",1.0,2020-01-19
190,Good product,  Good experience,0.0,2020-01-19
191,Not to buy anyone waste of money,  Waste product I used not more 10times now it is not working.see the pics of product the battery is dead .I need replacement.there is one year warranty on it,1.0,2020-01-18
192,Good product,  Jar little bit small otherwise its a great product,0.0,2020-01-18
193,Bad working,  Not perfect grinding very bad,1.0,2020-01-16
194,Product review,  Don't like this product.It's taking too much of power.Intially it was not working. We charged it for around 8 hrs. Then only it started to work and immediately the battery got drained.Expected a good one but very disappointed with this.,1.0,2020-01-15
195,Worst product ever !!!!,  Worst product ever !!!!Not get charged at allLeft it for more than 24hrsOnly on purchase it worked post it didn’t work at allDead waste of moneyPlease don’t ever buy this product !!!,1.0,2020-01-14
196,Pretty good to use,  Value for money. Just concerend about the cleaning part when water comes in contact with the charger hole,0.0,2020-01-12
197,Good and handy,  Good and comes handy. At first received a defect piece which was the replaced.,0.0,2020-01-12
198,Awzm,  Goooood,4.0,2020-01-11
199,Value for money,  Absolute value for money. Wanted to grind my baby food for travel. This device is very useful and compact to carry and use. Love it.,0.0,2020-01-11
200,Not working,  Not working after 10 day use,1.0,2020-01-08
201,Not charging,  Stopped charging in one month,2.0,2020-01-06
202,Handy for making shakes,  The product has been great for the intended use of making Bulletproof Coffee. Though the glass is fragile and needs to be handled carefully. Have broken one and had to order a replacement. The glass jar is also not meant to be carried would have preferred a food grade plastic jar.,4.0,2020-01-05
203,Nice,  Very nice,3.0,2020-01-03
204,Only 150ml usable,  Very small in size,3.0,2020-01-03
205,Good,  Very nice product.,0.0,2020-01-02
206,juicer,  very useful,0.0,2020-01-01
207,Am very shock & very disappointed,  👎👎👎👎👎👎👎bad product,1.0,2019-12-30
208,Brittle material. Prone to breakage.,  You should provide fibre jar instead of glass. Mine already broken.,4.0,2019-12-29
209,Amazing,  Amazing product,0.0,2019-12-25
210,It's not good,  Waste of money,1.0,2019-12-25
211,Blender/juicer for travelling.,"  Very convenient to use when travelling to make a milkshake, almond shake, juices whilst on the go. Cute and slim looking.",0.0,2019-12-22
212,Need help the machine stoped working,  I didnt even use it for more than 5 time and the machine stopped working.... and no response from seller n Amazon on how to get it working even if it's in warranty.,1.0,2019-12-21
213,Nice,  Value for money,0.0,2019-12-19
214,Do not buy this,  Worked for a day and now it's not working. Always I can see a blinking red light instead of blue though it's charged well,1.0,2019-12-19
215,Wow nice deal,  Nice product with good battery life,0.0,2019-12-10
216,Useless,"  This stopped working after 5 times usage, return window closed, no customer care no. Totally useless",1.0,2019-12-09
217,Used product,  Recieved used and broken productWorst of all delivery recieved yet,1.0,2019-12-08
218,Worth it,  Easy to clean ..works amazing nn  easy to use.....Value of money,0.0,2019-12-07
219,Do not buy this product,  Does not work properly,1.0,2019-12-07
220,Nice,  Nice,0.0,2019-12-05
221,Serve the purpose,"  It’s ok: need to charge frequently, that’s the only drawback I have seen",4.0,2019-12-05
222,not working after few days,"  Product is very good, used it once and had put for charge. The entire assembly or charging point got burnt. It is no more in use. Would request the customer care to help me sort out this.",3.0,2019-12-03
223,Bad product I used it only 1 month and motor was burn pls dont purchase this product guys,  Dislike,1.0,2019-12-03
224,Request a replacement,"  Product is very good, used it once and had put for charge. The entire assembly or charging point got burnt. It is no more in use. Would request the customer care to help me sort out this.",2.0,2019-11-29
225,Worst!,  Worst..... stopped working after few uses.....and it's not even repairable....pls don't buy!,1.0,2019-11-28
226,Awesome product,  Value for money,0.0,2019-11-25
227,Perfect mate,  Perfect blender for the busy life styles. good quality and finish. glass jar need little care.,0.0,2019-11-24
228,One of the best portable Juicer,  One of the best portable Juicer,0.0,2019-11-23
229,Not working,  After 3month of use its not working.,3.0,2019-11-22
230,Nice products,  Nice products,4.0,2019-11-22
231,Nothing,  One worked,1.0,2019-11-22
232,Waste of money.,  I used this product only once to make my daily protein shake. It worked for 2 minutes and battery drained. I kept for charging almost 6 to 8 hours. However battery did did not charge as expected. Blades are not spinning. I am unable to use this product.I wish i could give negative star.Totally upset with this product. Waste of money. Below expectations. Need my money back.,1.0,2019-11-22
233,Stopped working,  Stopped working after first use,1.0,2019-11-20
234,Very easy and cute!,  It’s a fabulous product. One should just remember to charge it.,4.0,2019-11-19
235,Perfect for preparing child food.,  Easy to use,4.0,2019-11-18
236,Waste of money! Too Small,  Waste of money! It stopped working after one use itself.And size is way too small.Do not recommend!,1.0,2019-11-17
237,Stoped working within 1 month,  Stopped working within 1 month,1.0,2019-11-16
238,"Not working, no claiming of warranty","  Your browser does not support HTML5 video.


   Not working, no warranty claim, trying to reach out to seller for 2 months, no responseNot even amazon customer could help me",1.0,2019-11-15
239,Useless,  Muchhe kharab product mila tha to maine product return kar diya tha,1.0,2019-11-13
240,Nice,  Good,4.0,2019-11-13
241,Leaking,  It is leaking even when I am making lime juice!!!!,1.0,2019-11-13
242,Satisfied,  So esay to useAnd compatible use for travellingGo for it,0.0,2019-11-12
243,awesome,  nice and friendly product,4.0,2019-11-11
244,Waste of money.. Don't recommend at all,  It stopped working after a week of purchase. Now the return window is closed. Don't know what to with this now. Feeling cheated now. Please do something Amazon.,1.0,2019-11-11
245,Nice but difficult to clean,  It’s an amazing product but the cleaning is difficult... will have to be careful with cord sections,0.0,2019-11-10
246,Carry shaker,  Value for money and special it is easy to carry. It has six blender so it blends well.,0.0,2019-11-10
247,Brayden Fito Rush,  This is very compatible powerful juicer...very useful especially when traveling...But not so easy to clean...The cup is very brittle  and there are chances that water might spread inside unit while cleaning the cup holder and that might damage the unit... so should be careful while cleaning the cup holder... Any way it is value for money...,4.0,2019-11-10
248,Not working,  Stopped working after a month. Cheap product. Now even the return window is closed. Total waste of my money its better to invest in a branded decent product even if it’s twice the price of a cheaper substitute. Disappointing!!,1.0,2019-11-09
249,Lovely Handy Tool,"  I was looking for some tool to make instant juice and guess what? I just got it with this product. Finishing of product is too good. You will not see waste of money from anywhere. Container is made of good quality glass. You just need to make sure it fit perfect before using.Buy for sure if you're really finding something portable juicer. Yes I must say container is little small, it can serve to only one person but worth it.",4.0,2019-11-09
250,Excellent,  Very happy that i bought this. Very useful and easy to operate with out cable. Where ever we want.,0.0,2019-11-08
251,A very useful product,"  A very useful product for making smoothie . Power is good, even you can crush amonds and cashews.A must buy if you are looking for quick refreshment on the go.",0.0,2019-11-08
252,Good,  Its quite good.....not good for tough material,0.0,2019-11-08
